scale,steel_kind,hsb,fur_avg_temp,fur_total_time,rolling_method,rolling_temp,descaling_count,work_group
양품,T,적용,1138.5,259,TMCP(온도제어),934,8,1조
양품,T,적용,1139.5,238,TMCP(온도제어),937,8,1조
양품,T,적용,1125.0,258,TMCP(온도제어),889,8,1조
양품,T,적용,1139.5,266,TMCP(온도제어),885,8,1조
양품,T,적용,1134.0,246,TMCP(온도제어),873,8,1조
양품,T,적용,1135.5,255,TMCP(온도제어),874,8,1조
양품,T,적용,1134.0,278,TMCP(온도제어),878,8,1조
양품,T,적용,1135.0,272,TMCP(온도제어),870,8,1조
양품,T,적용,1124.5,241,TMCP(온도제어),873,8,1조
불량,T,적용,1129.5,290,TMCP(온도제어),881,7,1조
양품,T,적용,1129.5,261,CR(제어압연),881,8,1조
양품,T,적용,1125.0,252,TMCP(온도제어),869,8,1조
양품,T,적용,1125.0,259,CR(제어압연),869,8,1조
양품,T,적용,1129.5,280,TMCP(온도제어),820,8,1조
양품,T,적용,1129.5,286,CR(제어압연),820,8,1조
불량,T,적용,1128.0,259,CR(제어압연),1057,8,1조
양품,T,적용,1119.5,289,TMCP(온도제어),926,8,1조
양품,T,적용,1119.5,282,CR(제어압연),926,8,1조
양품,T,적용,1119.0,263,CR(제어압연),931,8,1조
양품,T,적용,1119.0,254,TMCP(온도제어),931,8,1조
불량,T,적용,1125.0,286,TMCP(온도제어),929,5,1조
양품,T,적용,1129.0,293,TMCP(온도제어),929,6,1조
양품,T,적용,1124.0,289,TMCP(온도제어),929,6,1조
양품,T,적용,1127.0,302,TMCP(온도제어),925,6,1조
양품,T,적용,1125.5,237,TMCP(온도제어),928,6,1조
양품,T,적용,1113.0,303,TMCP(온도제어),860,6,1조
양품,T,적용,1117.0,240,TMCP(온도제어),836,6,1조
양품,T,적용,1116.5,276,TMCP(온도제어),832,6,1조
양품,T,적용,1121.0,216,TMCP(온도제어),832,6,1조
양품,T,적용,1118.5,240,TMCP(온도제어),832,6,1조
양품,T,적용,1112.5,219,TMCP(온도제어),841,6,1조
양품,T,적용,1123.0,220,TMCP(온도제어),933,6,1조
양품,T,적용,1123.0,251,CR(제어압연),933,6,1조
양품,T,적용,1129.0,246,TMCP(온도제어),933,6,1조
양품,T,적용,1129.0,231,CR(제어압연),933,6,1조
양품,T,적용,1127.0,284,TMCP(온도제어),937,6,1조
양품,T,적용,1127.0,281,CR(제어압연),937,6,1조
양품,T,적용,1130.5,244,TMCP(온도제어),930,6,1조
양품,T,적용,1130.5,268,CR(제어압연),930,6,1조
양품,T,적용,1124.0,250,TMCP(온도제어),936,6,1조
양품,T,적용,1124.0,251,CR(제어압연),936,6,1조
양품,T,적용,1125.5,262,TMCP(온도제어),933,6,1조
양품,T,적용,1125.5,245,CR(제어압연),933,6,1조
양품,T,적용,1117.0,272,TMCP(온도제어),838,6,1조
양품,T,적용,1117.0,272,CR(제어압연),838,6,1조
양품,T,적용,1130.0,247,TMCP(온도제어),837,6,1조
양품,T,적용,1129.0,238,TMCP(온도제어),862,6,1조
양품,T,적용,1127.5,273,TMCP(온도제어),862,6,1조
양품,T,적용,1129.5,261,TMCP(온도제어),861,6,1조
양품,T,적용,1122.5,266,TMCP(온도제어),862,6,1조
양품,T,적용,1128.5,223,TMCP(온도제어),856,6,1조
양품,T,적용,1130.0,229,TMCP(온도제어),860,6,1조
양품,T,적용,1125.5,256,TMCP(온도제어),863,6,1조
양품,T,적용,1134.0,257,TMCP(온도제어),864,6,1조
양품,T,적용,1127.5,228,TMCP(온도제어),845,6,1조
양품,T,적용,1127.5,232,CR(제어압연),845,6,1조
양품,T,적용,1118.0,234,CR(제어압연),808,6,1조
양품,T,적용,1126.5,238,TMCP(온도제어),845,6,1조
양품,T,적용,1126.0,270,TMCP(온도제어),850,6,1조
양품,T,적용,1126.0,241,CR(제어압연),850,6,1조
양품,T,적용,1132.5,257,TMCP(온도제어),852,6,1조
양품,T,적용,1133.5,243,TMCP(온도제어),845,6,1조
양품,T,적용,1133.5,264,CR(제어압연),845,6,1조
양품,T,적용,1128.5,243,TMCP(온도제어),845,6,1조
양품,T,적용,1128.5,274,CR(제어압연),845,6,1조
양품,T,적용,1128.0,280,TMCP(온도제어),847,6,1조
양품,T,적용,1133.0,260,TMCP(온도제어),849,6,1조
양품,T,적용,1133.0,272,CR(제어압연),849,6,2조
양품,T,적용,1129.5,286,TMCP(온도제어),845,6,2조
양품,T,적용,1136.0,275,TMCP(온도제어),844,6,2조
양품,T,적용,1137.0,260,TMCP(온도제어),852,6,2조
양품,T,적용,1138.5,280,TMCP(온도제어),853,6,2조
양품,T,적용,1132.5,282,TMCP(온도제어),851,6,2조
양품,T,적용,1131.5,250,TMCP(온도제어),850,6,2조
양품,T,적용,1133.5,253,TMCP(온도제어),847,6,2조
양품,T,적용,1133.5,258,CR(제어압연),847,6,2조
양품,T,적용,1134.5,250,TMCP(온도제어),849,6,2조
양품,T,적용,1134.5,269,CR(제어압연),849,6,2조
양품,T,적용,1138.0,275,TMCP(온도제어),851,6,2조
불량,T,적용,1138.0,276,CR(제어압연),851,5,2조
양품,T,적용,1140.0,251,TMCP(온도제어),847,6,2조
양품,T,적용,1140.0,255,CR(제어압연),847,6,2조
양품,T,적용,1133.0,236,TMCP(온도제어),847,6,2조
양품,T,적용,1133.0,238,CR(제어압연),847,6,2조
양품,T,적용,1132.5,232,TMCP(온도제어),844,6,2조
양품,T,적용,1132.5,258,CR(제어압연),844,6,2조
양품,T,적용,1136.0,266,TMCP(온도제어),840,6,2조
양품,T,적용,1139.5,258,TMCP(온도제어),846,6,2조
양품,T,적용,1139.0,241,TMCP(온도제어),844,6,2조
양품,T,적용,1142.5,279,TMCP(온도제어),846,6,2조
양품,T,적용,1131.0,272,TMCP(온도제어),844,6,2조
양품,T,적용,1134.0,254,TMCP(온도제어),849,6,2조
양품,T,적용,1134.0,260,TMCP(온도제어),834,6,2조
불량,T,미적용,1138.0,235,TMCP(온도제어),847,6,2조
양품,T,적용,1127.5,217,TMCP(온도제어),842,6,2조
양품,T,적용,1123.5,267,TMCP(온도제어),845,6,2조
양품,T,적용,1123.5,246,CR(제어압연),845,6,2조
양품,T,적용,1125.5,251,TMCP(온도제어),843,6,2조
양품,T,적용,1117.5,255,TMCP(온도제어),773,6,2조
양품,T,적용,1117.5,258,CR(제어압연),773,6,2조
불량,T,적용,1124.5,231,TMCP(온도제어),760,5,2조
양품,T,적용,1124.5,206,CR(제어압연),760,6,2조
양품,T,적용,1129.0,269,TMCP(온도제어),859,6,2조
양품,T,적용,1129.5,232,TMCP(온도제어),842,6,2조
불량,T,미적용,1136.5,213,TMCP(온도제어),847,6,2조
양품,T,적용,1128.0,248,TMCP(온도제어),844,6,2조
