scale,steel_kind,hsb,fur_avg_temp,fur_total_time,rolling_method,rolling_temp,descaling_count,work_group
양품,C,적용,1127.5,297,CR(제어압연),934,8,2조
양품,C,적용,1136.0,235,CR(제어압연),911,8,2조
양품,C,적용,1130.0,240,CR(제어압연),935,10,2조
양품,C,적용,1130.0,287,CR(제어압연),935,10,2조
양품,C,적용,1135.5,286,CR(제어압연),915,10,2조
양품,C,적용,1137.0,284,CR(제어압연),923,10,2조
양품,C,적용,1136.5,284,CR(제어압연),913,10,2조
양품,C,적용,1133.0,251,CR(제어압연),977,8,2조
양품,C,적용,1138.5,273,CR(제어압연),985,8,2조
양품,C,적용,1139.5,285,CR(제어압연),955,10,2조
양품,C,적용,1138.0,245,CR(제어압연),955,10,2조
양품,C,적용,1144.0,267,CR(제어압연),950,10,2조
양품,C,적용,1140.5,244,CR(제어압연),952,10,2조
양품,C,적용,1136.0,258,CR(제어압연),956,10,2조
양품,C,적용,1138.0,282,CR(제어압연),920,10,2조
양품,C,적용,1147.5,261,CR(제어압연),959,10,2조
양품,C,적용,1145.5,263,CR(제어압연),918,10,2조
양품,C,적용,1138.5,254,CR(제어압연),930,10,2조
불량,C,적용,1153.0,262,CR(제어압연),930,9,2조
양품,C,적용,1155.0,298,CR(제어압연),944,10,2조
양품,C,적용,1149.0,273,CR(제어압연),930,10,2조
양품,C,적용,1150.5,264,CR(제어압연),976,10,2조
양품,C,적용,1154.5,262,CR(제어압연),956,10,2조
불량,C,미적용,1150.5,288,CR(제어압연),937,10,2조
양품,C,적용,1154.0,259,CR(제어압연),950,10,2조
불량,C,적용,1160.0,272,CR(제어압연),1004,10,2조
양품,C,적용,1161.5,286,CR(제어압연),961,10,1조
양품,C,적용,1154.5,270,CR(제어압연),996,10,1조
불량,C,적용,1151.5,290,CR(제어압연),995,9,1조
양품,C,적용,1148.5,269,CR(제어압연),953,10,1조
양품,C,적용,1146.0,262,CR(제어압연),956,10,1조
양품,C,적용,1166.0,246,CR(제어압연),992,8,1조
양품,C,적용,1168.0,294,CR(제어압연),988,8,1조
양품,C,적용,1146.0,288,CR(제어압연),982,8,1조
양품,C,적용,1164.5,263,CR(제어압연),967,10,1조
양품,C,적용,1152.5,301,CR(제어압연),975,10,1조
불량,C,적용,1160.5,250,CR(제어압연),1008,10,1조
불량,C,적용,1169.0,256,CR(제어압연),1018,10,1조
불량,C,적용,1168.5,267,CR(제어압연),1006,10,1조
양품,C,적용,1164.5,242,CR(제어압연),999,10,1조
양품,C,적용,1164.5,266,CR(제어압연),999,10,1조
불량,C,적용,1163.0,258,CR(제어압연),1005,10,1조
불량,C,적용,1162.0,253,CR(제어압연),1008,9,1조
불량,C,적용,1166.5,249,CR(제어압연),1012,10,1조
불량,C,적용,1168.0,243,CR(제어압연),1002,10,1조
불량,C,적용,1169.0,272,CR(제어압연),1023,10,1조
불량,C,적용,1168.5,206,CR(제어압연),1015,8,1조
불량,C,적용,1165.5,240,CR(제어압연),1021,8,1조
불량,C,적용,1162.0,229,CR(제어압연),1011,7,1조
불량,C,적용,1162.0,233,CR(제어압연),1011,8,1조
불량,C,적용,1170.5,238,CR(제어압연),1013,8,1조
불량,C,적용,1163.0,273,CR(제어압연),1019,8,1조
불량,C,적용,1167.5,241,CR(제어압연),1006,8,1조
불량,C,적용,1173.0,256,CR(제어압연),1026,8,1조
불량,C,적용,1170.5,235,CR(제어압연),1027,7,1조
불량,C,적용,1171.0,214,CR(제어압연),1020,8,1조
불량,C,적용,1172.0,250,CR(제어압연),1014,8,1조
불량,C,적용,1170.5,210,CR(제어압연),1022,8,1조
불량,C,적용,1166.0,231,CR(제어압연),1007,8,1조
불량,C,적용,1169.0,214,CR(제어압연),1007,8,1조
불량,C,적용,1169.0,244,CR(제어압연),1007,8,1조
불량,C,적용,1169.0,198,CR(제어압연),1007,8,1조
불량,C,적용,1172.5,200,CR(제어압연),1017,7,1조
불량,C,적용,1171.0,245,CR(제어압연),1006,8,1조
불량,C,적용,1171.0,244,CR(제어압연),1006,8,1조
불량,C,적용,1171.5,224,CR(제어압연),1007,8,1조
불량,C,적용,1165.0,233,CR(제어압연),1022,8,1조
불량,C,적용,1166.0,213,CR(제어압연),1031,7,1조
불량,C,적용,1160.5,218,CR(제어압연),1030,8,1조
불량,C,적용,1165.5,239,CR(제어압연),1062,8,1조
불량,C,적용,1170.5,228,CR(제어압연),1078,6,1조
불량,C,적용,1166.0,222,CR(제어압연),1066,6,1조
불량,C,적용,1155.0,229,CR(제어압연),1056,6,1조
불량,C,적용,1162.0,207,CR(제어압연),1054,8,1조
불량,C,적용,1158.0,221,CR(제어압연),1068,6,1조
불량,C,적용,1158.0,213,CR(제어압연),1054,6,1조
불량,C,적용,1159.5,232,CR(제어압연),1053,8,1조
양품,C,적용,1169.5,227,CR(제어압연),902,8,1조
양품,C,적용,1161.5,202,CR(제어압연),907,8,1조
불량,C,적용,1170.5,223,CR(제어압연),1037,8,1조
불량,C,적용,1170.5,229,CR(제어압연),1037,8,1조
불량,C,미적용,1166.0,251,CR(제어압연),901,8,1조
양품,C,적용,1170.0,201,CR(제어압연),976,8,1조
불량,C,적용,1162.5,221,CR(제어압연),1005,8,1조
불량,C,적용,1162.5,206,CR(제어압연),1005,7,1조
불량,C,적용,1164.5,236,CR(제어압연),1006,8,1조
불량,C,적용,1164.5,222,CR(제어압연),1006,8,1조
불량,C,적용,1164.0,242,CR(제어압연),1004,8,1조
